village_id,village_name,district,block,block_panchayat,longitude,latitude,total_hh,avg_hh_size,perc_rural,ratio_female,nearest_town_km,has_fps,has_bus_service,has_road_connectivity
37,Karaikudi,Sivagangai,Karaikudi,Karaikudi,78.75,10.10,1500,4.9,0.90,0.44,8,1,1,1
38,Thiruppuvanam,Sivagangai,Karaikudi,Karaikudi,78.70,10.15,1200,4.7,0.92,0.46,9,1,1,1
39,Keezhapavoor,Sivagangai,Karaikudi,Karaikudi,78.80,10.20,1050,4.5,0.94,0.48,11,1,1,1
40,Uthiramerur,Kanchipuram,Uthiramerur,Uthiramerur,79.95,12.50,1350,4.8,0.91,0.45,9,1,1,1
41,Mulbagal,Kanchipuram,Uthiramerur,Uthiramerur,79.90,12.55,1100,4.6,0.93,0.47,10,1,1,1
42,Ponneri,Chennai,Ponneri,Ponneri,80.05,13.40,1450,4.9,0.88,0.43,7,1,1,1
43,Avadi,Chennai,Avadi,Avadi,80.10,13.45,1200,4.7,0.89,0.44,8,1,1,1
44,Minjur,Chennai,Minjur,Minjur,80.00,13.50,1150,4.6,0.90,0.45,9,1,1,1
45,Villupuram,Villupuram,Villupuram,Villupuram,79.45,11.95,1500,4.9,0.90,0.44,8,1,1,1
46,Kalavai,Villupuram,Villupuram,Villupuram,79.40,12.00,1250,4.7,0.91,0.45,9,1,1,1
47,Arakonam,Vellore,Arakonam,Arakonam,79.25,12.95,1350,4.8,0.92,0.46,8,1,1,1
48,Pallipattu,Vellore,Pallipattu,Pallipattu,79.30,13.00,1100,4.6,0.93,0.47,9,1,1,1
49,Manthai,Nilgiris,Coonoor,Coonoor,77.10,11.40,1000,4.5,0.94,0.48,11,1,1,1
50,Thambatty,Nilgiris,Coonoor,Coonoor,77.15,11.45,950,4.4,0.95,0.49,12,1,1,1
