txn_id,card_id,fps_id,village_id,district,block,month,commodity,unit_price,quantity,amount,mth_number,year,auth_mode,offline_flag,delivery_delay_days
TX148,RC103,1,1,Tirunelveli,Alangulam,Feb,rice,3,12,36,2,2025,biometric,0,0
TX149,RC103,1,1,Tirunelveli,Alangulam,Feb,wheat,2,3,6,2,2025,biometric,0,0
TX150,RC103,1,1,Tirunelveli,Alangulam,Feb,sugar,18,3,54,2,2025,biometric,0,0
TX151,RC103,1,1,Tirunelveli,Alangulam,Mar,rice,3,9,27,3,2025,aadhaar,0,3
TX152,RC103,1,1,Tirunelveli,Alangulam,Mar,wheat,2,4,8,3,2025,aadhaar,0,0
TX153,RC103,1,1,Tirunelveli,Alangulam,Mar,sugar,18,2,36,3,2025,aadhaar,0,3
TX154,RC103,1,1,Tirunelveli,Alangulam,Apr,rice,3,12,36,4,2025,biometric,0,3
TX155,RC103,1,1,Tirunelveli,Alangulam,Apr,wheat,2,5,10,4,2025,biometric,0,0
TX156,RC103,1,1,Tirunelveli,Alangulam,Apr,sugar,18,3,54,4,2025,biometric,0,1
TX157,RC103,1,1,Tirunelveli,Alangulam,May,rice,3,8,24,5,2025,biometric,0,1
TX158,RC103,1,1,Tirunelveli,Alangulam,May,wheat,2,5,10,5,2025,biometric,0,0
TX159,RC103,1,1,Tirunelveli,Alangulam,May,sugar,18,3,54,5,2025,biometric,0,3
TX160,RC103,1,1,Tirunelveli,Alangulam,Jun,rice,3,9,27,6,2025,biometric,0,2
TX161,RC103,1,1,Tirunelveli,Alangulam,Jul,rice,3,11,33,7,2025,aadhaar,0,1
TX162,RC103,1,1,Tirunelveli,Alangulam,Aug,rice,3,12,36,8,2025,aadhaar,0,0
TX163,RC103,1,1,Tirunelveli,Alangulam,Aug,wheat,2,4,8,8,2025,aadhaar,0,0
TX164,RC103,1,1,Tirunelveli,Alangulam,Sep,rice,3,9,27,9,2025,aadhaar,0,0
TX165,RC103,1,1,Tirunelveli,Alangulam,Sep,wheat,2,7,14,9,2025,aadhaar,0,5
TX166,RC103,1,1,Tirunelveli,Alangulam,Oct,rice,3,13,39,10,2025,biometric,0,3
TX167,RC103,1,1,Tirunelveli,Alangulam,Oct,wheat,2,5,10,10,2025,biometric,0,0
TX168,RC103,1,1,Tirunelveli,Alangulam,Oct,sugar,18,3,54,10,2025,biometric,0,1
TX169,RC103,1,1,Tirunelveli,Alangulam,Nov,rice,3,16,48,11,2025,aadhaar,1,0
TX170,RC103,1,1,Tirunelveli,Alangulam,Nov,wheat,2,4,8,11,2025,aadhaar,1,0
TX171,RC103,1,1,Tirunelveli,Alangulam,Nov,sugar,18,3,54,11,2025,aadhaar,1,1
TX172,RC103,1,1,Tirunelveli,Alangulam,Dec,rice,3,13,39,12,2025,aadhaar,0,0
TX173,RC103,1,1,Tirunelveli,Alangulam,Dec,wheat,2,5,10,12,2025,aadhaar,0,1
TX174,RC104,1,1,Tirunelveli,Alangulam,Jan,rice,3,14,42,1,2025,biometric,0,2
TX175,RC104,1,1,Tirunelveli,Alangulam,Jan,sugar,18,1,18,1,2025,biometric,0,1
TX176,RC104,1,1,Tirunelveli,Alangulam,Feb,rice,3,16,48,2,2025,aadhaar,0,0
TX177,RC104,1,1,Tirunelveli,Alangulam,Feb,sugar,18,1,18,2,2025,aadhaar,0,1
TX178,RC104,1,1,Tirunelveli,Alangulam,Feb,oil,25,1,25,2,2025,aadhaar,0,0
TX179,RC104,1,1,Tirunelveli,Alangulam,Apr,rice,3,11,33,4,2025,biometric,0,1
TX180,RC104,1,1,Tirunelveli,Alangulam,Apr,wheat,2,5,10,4,2025,biometric,0,2
TX181,RC104,1,1,Tirunelveli,Alangulam,Apr,sugar,18,2,36,4,2025,biometric,0,5
TX182,RC104,1,1,Tirunelveli,Alangulam,Apr,oil,25,1,25,4,2025,biometric,0,2
TX183,RC104,1,1,Tirunelveli,Alangulam,May,rice,3,8,24,5,2025,biometric,0,0
TX184,RC104,1,1,Tirunelveli,Alangulam,May,wheat,2,6,12,5,2025,biometric,0,2
TX185,RC104,1,1,Tirunelveli,Alangulam,May,sugar,18,1,18,5,2025,biometric,0,0
TX186,RC104,1,1,Tirunelveli,Alangulam,May,oil,25,1,25,5,2025,biometric,0,0
TX187,RC104,1,1,Tirunelveli,Alangulam,Jul,rice,3,15,45,7,2025,biometric,0,0
TX188,RC104,1,1,Tirunelveli,Alangulam,Jul,wheat,2,4,8,7,2025,biometric,0,0
TX189,RC104,1,1,Tirunelveli,Alangulam,Jul,sugar,18,2,36,7,2025,biometric,0,0
TX190,RC104,1,1,Tirunelveli,Alangulam,Jul,oil,25,2,50,7,2025,biometric,0,0
TX191,RC104,1,1,Tirunelveli,Alangulam,Aug,rice,3,8,24,8,2025,aadhaar,0,0
TX192,RC104,1,1,Tirunelveli,Alangulam,Aug,wheat,2,4,8,8,2025,aadhaar,0,1
TX193,RC104,1,1,Tirunelveli,Alangulam,Aug,sugar,18,1,18,8,2025,aadhaar,0,0
TX194,RC104,1,1,Tirunelveli,Alangulam,Aug,oil,25,2,50,8,2025,aadhaar,0,0
TX195,RC104,1,1,Tirunelveli,Alangulam,Sep,rice,3,11,33,9,2025,biometric,0,0
TX196,RC104,1,1,Tirunelveli,Alangulam,Sep,wheat,2,3,6,9,2025,biometric,0,1
TX197,RC104,1,1,Tirunelveli,Alangulam,Sep,sugar,18,3,54,9,2025,biometric,0,1
TX198,RC104,1,1,Tirunelveli,Alangulam,Sep,oil,25,1,25,9,2025,biometric,0,0
TX199,RC104,1,1,Tirunelveli,Alangulam,Nov,rice,3,9,27,11,2025,biometric,0,1
TX200,RC104,1,1,Tirunelveli,Alangulam,Nov,wheat,2,5,10,11,2025,biometric,0,1
TX201,RC104,1,1,Tirunelveli,Alangulam,Nov,sugar,18,3,54,11,2025,biometric,0,0
TX202,RC104,1,1,Tirunelveli,Alangulam,Dec,rice,3,10,30,12,2025,aadhaar,0,1
TX203,RC104,1,1,Tirunelveli,Alangulam,Dec,wheat,2,7,14,12,2025,aadhaar,0,2
TX204,RC104,1,1,Tirunelveli,Alangulam,Dec,sugar,18,1,18,12,2025,aadhaar,0,0
TX205,RC104,1,1,Tirunelveli,Alangulam,Dec,oil,25,2,50,12,2025,aadhaar,0,0
TX206,RC105,1,1,Tirunelveli,Alangulam,Jan,rice,3,10,30,1,2025,biometric,0,1
TX207,RC105,1,1,Tirunelveli,Alangulam,Jan,sugar,18,3,54,1,2025,biometric,0,0
TX208,RC105,1,1,Tirunelveli,Alangulam,Jan,oil,25,1,25,1,2025,biometric,0,1
TX209,RC105,1,1,Tirunelveli,Alangulam,Feb,rice,3,8,24,2,2025,biometric,0,0
TX210,RC105,1,1,Tirunelveli,Alangulam,Feb,wheat,2,3,6,2,2025,biometric,0,0
TX211,RC105,1,1,Tirunelveli,Alangulam,Feb,sugar,18,3,54,2,2025,biometric,0,0
TX212,RC105,1,1,Tirunelveli,Alangulam,Feb,oil,25,2,50,2,2025,biometric,0,0
TX213,RC105,1,1,Tirunelveli,Alangulam,Mar,rice,3,9,27,3,2025,biometric,0,2
TX214,RC105,1,1,Tirunelveli,Alangulam,Mar,sugar,18,3,54,3,2025,biometric,0,1
TX215,RC105,1,1,Tirunelveli,Alangulam,Apr,rice,3,15,45,4,2025,biometric,0,1
TX216,RC105,1,1,Tirunelveli,Alangulam,Apr,wheat,2,7,14,4,2025,biometric,0,0
TX217,RC105,1,1,Tirunelveli,Alangulam,Apr,sugar,18,2,36,4,2025,biometric,0,1
TX218,RC105,1,1,Tirunelveli,Alangulam,Apr,oil,25,2,50,4,2025,biometric,0,2
TX219,RC105,1,1,Tirunelveli,Alangulam,May,rice,3,15,45,5,2025,biometric,0,0
TX220,RC105,1,1,Tirunelveli,Alangulam,May,wheat,2,5,10,5,2025,biometric,0,2
TX221,RC105,1,1,Tirunelveli,Alangulam,May,sugar,18,3,54,5,2025,biometric,0,0
TX222,RC105,1,1,Tirunelveli,Alangulam,May,oil,25,2,50,5,2025,biometric,0,0
TX223,RC105,1,1,Tirunelveli,Alangulam,Jun,rice,3,10,30,6,2025,aadhaar,0,0
TX224,RC105,1,1,Tirunelveli,Alangulam,Jun,wheat,2,4,8,6,2025,aadhaar,0,0
TX225,RC105,1,1,Tirunelveli,Alangulam,Jun,sugar,18,3,54,6,2025,aadhaar,0,0
TX226,RC105,1,1,Tirunelveli,Alangulam,Jul,rice,3,8,24,7,2025,aadhaar,0,2
TX227,RC105,1,1,Tirunelveli,Alangulam,Jul,wheat,2,6,12,7,2025,aadhaar,0,0
TX228,RC105,1,1,Tirunelveli,Alangulam,Jul,sugar,18,2,36,7,2025,aadhaar,0,2
TX229,RC105,1,1,Tirunelveli,Alangulam,Jul,oil,25,2,50,7,2025,aadhaar,0,1
TX230,RC105,1,1,Tirunelveli,Alangulam,Aug,rice,3,15,45,8,2025,aadhaar,0,0
TX231,RC105,1,1,Tirunelveli,Alangulam,Aug,wheat,2,3,6,8,2025,aadhaar,0,0
TX232,RC105,1,1,Tirunelveli,Alangulam,Aug,sugar,18,2,36,8,2025,aadhaar,0,1
TX233,RC105,1,1,Tirunelveli,Alangulam,Aug,oil,25,1,25,8,2025,aadhaar,0,5
TX234,RC105,1,1,Tirunelveli,Alangulam,Sep,rice,3,8,24,9,2025,aadhaar,0,0
TX235,RC105,1,1,Tirunelveli,Alangulam,Sep,wheat,2,6,12,9,2025,aadhaar,0,0
TX236,RC105,1,1,Tirunelveli,Alangulam,Sep,oil,25,2,50,9,2025,aadhaar,0,0
TX237,RC105,1,1,Tirunelveli,Alangulam,Oct,rice,3,14,42,10,2025,aadhaar,0,0
TX238,RC105,1,1,Tirunelveli,Alangulam,Oct,oil,25,2,50,10,2025,aadhaar,0,0
TX239,RC105,1,1,Tirunelveli,Alangulam,Dec,rice,3,11,33,12,2025,biometric,0,0
TX240,RC106,1,1,Tirunelveli,Alangulam,Jan,rice,3,15,45,1,2025,aadhaar,0,1
TX241,RC106,1,1,Tirunelveli,Alangulam,Jan,wheat,2,4,8,1,2025,aadhaar,0,1
TX242,RC106,1,1,Tirunelveli,Alangulam,Jan,sugar,18,3,54,1,2025,aadhaar,0,0
TX243,RC106,1,1,Tirunelveli,Alangulam,Feb,rice,3,8,24,2,2025,biometric,0,3
TX244,RC106,1,1,Tirunelveli,Alangulam,Feb,wheat,2,6,12,2,2025,biometric,0,0
TX245,RC106,1,1,Tirunelveli,Alangulam,Feb,sugar,18,1,18,2,2025,biometric,0,1
TX246,RC106,1,1,Tirunelveli,Alangulam,Mar,rice,3,12,36,3,2025,biometric,0,2
TX247,RC106,1,1,Tirunelveli,Alangulam,Mar,wheat,2,3,6,3,2025,biometric,0,2
TX248,RC106,1,1,Tirunelveli,Alangulam,Mar,sugar,18,1,18,3,2025,biometric,0,0
TX249,RC106,1,1,Tirunelveli,Alangulam,Apr,rice,3,13,39,4,2025,biometric,0,0
TX250,RC106,1,1,Tirunelveli,Alangulam,Apr,wheat,2,6,12,4,2025,biometric,0,0
TX251,RC106,1,1,Tirunelveli,Alangulam,Apr,sugar,18,3,54,4,2025,biometric,0,3
TX252,RC106,1,1,Tirunelveli,Alangulam,May,rice,3,16,48,5,2025,biometric,0,5
TX253,RC106,1,1,Tirunelveli,Alangulam,May,sugar,18,3,54,5,2025,biometric,0,2
TX254,RC106,1,1,Tirunelveli,Alangulam,Jun,rice,3,11,33,6,2025,aadhaar,0,2
TX255,RC106,1,1,Tirunelveli,Alangulam,Jun,sugar,18,1,18,6,2025,aadhaar,0,2
TX256,RC106,1,1,Tirunelveli,Alangulam,Jul,rice,3,15,45,7,2025,aadhaar,0,2
TX257,RC106,1,1,Tirunelveli,Alangulam,Aug,rice,3,12,36,8,2025,biometric,0,1
TX258,RC106,1,1,Tirunelveli,Alangulam,Aug,wheat,2,4,8,8,2025,biometric,0,0
TX259,RC106,1,1,Tirunelveli,Alangulam,Aug,sugar,18,2,36,8,2025,biometric,0,1
TX260,RC106,1,1,Tirunelveli,Alangulam,Sep,rice,3,15,45,9,2025,aadhaar,0,0
TX261,RC106,1,1,Tirunelveli,Alangulam,Oct,rice,3,13,39,10,2025,biometric,0,0
TX262,RC106,1,1,Tirunelveli,Alangulam,Oct,wheat,2,6,12,10,2025,biometric,0,5
TX263,RC106,1,1,Tirunelveli,Alangulam,Oct,sugar,18,2,36,10,2025,biometric,0,1
TX264,RC106,1,1,Tirunelveli,Alangulam,Nov,rice,3,11,33,11,2025,biometric,0,0
TX265,RC106,1,1,Tirunelveli,Alangulam,Nov,wheat,2,4,8,11,2025,biometric,0,0
TX266,RC106,1,1,Tirunelveli,Alangulam,Nov,sugar,18,2,36,11,2025,biometric,0,1
TX267,RC106,1,1,Tirunelveli,Alangulam,Dec,rice,3,9,27,12,2025,aadhaar,0,2
TX268,RC106,1,1,Tirunelveli,Alangulam,Dec,sugar,18,2,36,12,2025,aadhaar,0,0
TX269,RC107,1,1,Tirunelveli,Alangulam,Jan,rice,3,8,24,1,2025,biometric,1,1
TX270,RC107,1,1,Tirunelveli,Alangulam,Jan,wheat,2,4,8,1,2025,biometric,1,1
TX271,RC107,1,1,Tirunelveli,Alangulam,Jan,sugar,18,1,18,1,2025,biometric,1,3
TX272,RC107,1,1,Tirunelveli,Alangulam,Feb,rice,3,13,39,2,2025,aadhaar,0,0
TX273,RC107,1,1,Tirunelveli,Alangulam,Feb,sugar,18,2,36,2,2025,aadhaar,0,0
TX274,RC107,1,1,Tirunelveli,Alangulam,Apr,rice,3,8,24,4,2025,aadhaar,0,0
TX275,RC107,1,1,Tirunelveli,Alangulam,Apr,wheat,2,5,10,4,2025,aadhaar,0,0
TX276,RC107,1,1,Tirunelveli,Alangulam,May,rice,3,11,33,5,2025,aadhaar,0,2
TX277,RC107,1,1,Tirunelveli,Alangulam,May,wheat,2,6,12,5,2025,aadhaar,0,0
TX278,RC107,1,1,Tirunelveli,Alangulam,May,sugar,18,2,36,5,2025,aadhaar,0,0
TX279,RC107,1,1,Tirunelveli,Alangulam,Jun,rice,3,9,27,6,2025,aadhaar,0,3
TX280,RC107,1,1,Tirunelveli,Alangulam,Jul,rice,3,16,48,7,2025,biometric,0,0
TX281,RC107,1,1,Tirunelveli,Alangulam,Jul,sugar,18,3,54,7,2025,biometric,0,0
TX282,RC107,1,1,Tirunelveli,Alangulam,Sep,rice,3,15,45,9,2025,biometric,0,0
TX283,RC107,1,1,Tirunelveli,Alangulam,Oct,rice,3,11,33,10,2025,aadhaar,0,0
TX284,RC107,1,1,Tirunelveli,Alangulam,Oct,wheat,2,4,8,10,2025,aadhaar,0,3
TX285,RC107,1,1,Tirunelveli,Alangulam,Oct,sugar,18,1,18,10,2025,aadhaar,0,0
TX286,RC107,1,1,Tirunelveli,Alangulam,Nov,rice,3,12,36,11,2025,aadhaar,0,0
TX287,RC107,1,1,Tirunelveli,Alangulam,Nov,wheat,2,5,10,11,2025,aadhaar,0,1
TX288,RC107,1,1,Tirunelveli,Alangulam,Nov,sugar,18,3,54,11,2025,aadhaar,0,1
TX289,RC107,1,1,Tirunelveli,Alangulam,Dec,rice,3,14,42,12,2025,aadhaar,1,1
TX290,RC107,1,1,Tirunelveli,Alangulam,Dec,wheat,2,3,6,12,2025,aadhaar,1,0
TX291,RC107,1,1,Tirunelveli,Alangulam,Dec,sugar,18,3,54,12,2025,aadhaar,1,1
TX292,RC108,1,1,Tirunelveli,Alangulam,Feb,rice,3,10,30,2,2025,biometric,0,0
TX293,RC108,1,1,Tirunelveli,Alangulam,Feb,wheat,2,5,10,2,2025,biometric,0,0
TX294,RC108,1,1,Tirunelveli,Alangulam,Feb,sugar,18,3,54,2,2025,biometric,0,2
TX295,RC108,1,1,Tirunelveli,Alangulam,Mar,rice,3,13,39,3,2025,aadhaar,0,0
TX296,RC108,1,1,Tirunelveli,Alangulam,Apr,rice,3,14,42,4,2025,aadhaar,0,2
TX297,RC108,1,1,Tirunelveli,Alangulam,Apr,wheat,2,6,12,4,2025,aadhaar,0,0
TX298,RC108,1,1,Tirunelveli,Alangulam,Jun,rice,3,8,24,6,2025,aadhaar,0,1
TX299,RC108,1,1,Tirunelveli,Alangulam,Jun,wheat,2,6,12,6,2025,aadhaar,0,0
TX300,RC108,1,1,Tirunelveli,Alangulam,Jun,sugar,18,3,54,6,2025,aadhaar,0,2
TX301,RC108,1,1,Tirunelveli,Alangulam,Jul,rice,3,16,48,7,2025,biometric,0,0
TX302,RC108,1,1,Tirunelveli,Alangulam,Jul,sugar,18,2,36,7,2025,biometric,0,0
TX303,RC108,1,1,Tirunelveli,Alangulam,Aug,rice,3,10,30,8,2025,aadhaar,0,0
TX304,RC108,1,1,Tirunelveli,Alangulam,Aug,sugar,18,1,18,8,2025,aadhaar,0,5
TX305,RC108,1,1,Tirunelveli,Alangulam,Sep,rice,3,10,30,9,2025,aadhaar,0,0
TX306,RC108,1,1,Tirunelveli,Alangulam,Sep,wheat,2,7,14,9,2025,aadhaar,0,1
TX307,RC108,1,1,Tirunelveli,Alangulam,Sep,sugar,18,2,36,9,2025,aadhaar,0,5
TX308,RC108,1,1,Tirunelveli,Alangulam,Oct,rice,3,11,33,10,2025,aadhaar,0,3
TX309,RC108,1,1,Tirunelveli,Alangulam,Oct,wheat,2,4,8,10,2025,aadhaar,0,2
TX310,RC108,1,1,Tirunelveli,Alangulam,Nov,rice,3,16,48,11,2025,aadhaar,0,0
TX311,RC108,1,1,Tirunelveli,Alangulam,Nov,sugar,18,3,54,11,2025,aadhaar,0,1
TX312,RC108,1,1,Tirunelveli,Alangulam,Dec,rice,3,15,45,12,2025,biometric,0,0
TX313,RC108,1,1,Tirunelveli,Alangulam,Dec,wheat,2,7,14,12,2025,biometric,0,0
TX314,RC108,1,1,Tirunelveli,Alangulam,Dec,sugar,18,1,18,12,2025,biometric,0,5
TX315,RC109,2,2,Tuticorin,Alangulam,Jan,rice,3,14,42,1,2025,aadhaar,0,0
TX316,RC109,2,2,Tuticorin,Alangulam,Jan,wheat,2,6,12,1,2025,aadhaar,0,0
TX317,RC109,2,2,Tuticorin,Alangulam,Jan,sugar,18,3,54,1,2025,aadhaar,0,5
TX318,RC109,2,2,Tuticorin,Alangulam,Feb,rice,3,13,39,2,2025,biometric,0,2
TX319,RC109,2,2,Tuticorin,Alangulam,Feb,wheat,2,6,12,2,2025,biometric,0,0
TX320,RC109,2,2,Tuticorin,Alangulam,Feb,sugar,18,1,18,2,2025,biometric,0,1
TX321,RC109,2,2,Tuticorin,Alangulam,Mar,rice,3,12,36,3,2025,biometric,0,0
TX322,RC109,2,2,Tuticorin,Alangulam,Mar,wheat,2,3,6,3,2025,biometric,0,2
TX323,RC109,2,2,Tuticorin,Alangulam,Mar,sugar,18,3,54,3,2025,biometric,0,0
TX324,RC109,2,2,Tuticorin,Alangulam,Apr,rice,3,8,24,4,2025,aadhaar,0,1
TX325,RC109,2,2,Tuticorin,Alangulam,Apr,sugar,18,2,36,4,2025,aadhaar,0,5
TX326,RC109,2,2,Tuticorin,Alangulam,May,rice,3,9,27,5,2025,aadhaar,0,0
TX327,RC109,2,2,Tuticorin,Alangulam,May,wheat,2,3,6,5,2025,aadhaar,0,0
TX328,RC109,2,2,Tuticorin,Alangulam,May,sugar,18,2,36,5,2025,aadhaar,0,0
TX329,RC109,2,2,Tuticorin,Alangulam,Jun,rice,3,10,30,6,2025,biometric,0,0
TX330,RC109,2,2,Tuticorin,Alangulam,Jun,sugar,18,3,54,6,2025,biometric,0,1
TX331,RC109,2,2,Tuticorin,Alangulam,Jul,rice,3,15,45,7,2025,aadhaar,0,1
TX332,RC109,2,2,Tuticorin,Alangulam,Jul,wheat,2,3,6,7,2025,aadhaar,0,3
TX333,RC109,2,2,Tuticorin,Alangulam,Jul,sugar,18,2,36,7,2025,aadhaar,0,1
TX334,RC109,2,2,Tuticorin,Alangulam,Aug,rice,3,12,36,8,2025,aadhaar,0,1
TX335,RC109,2,2,Tuticorin,Alangulam,Aug,wheat,2,5,10,8,2025,aadhaar,0,0
TX336,RC109,2,2,Tuticorin,Alangulam,Aug,sugar,18,2,36,8,2025,aadhaar,0,2
TX337,RC109,2,2,Tuticorin,Alangulam,Oct,rice,3,12,36,10,2025,biometric,0,0
TX338,RC109,2,2,Tuticorin,Alangulam,Oct,wheat,2,6,12,10,2025,biometric,0,0
TX339,RC109,2,2,Tuticorin,Alangulam,Oct,sugar,18,3,54,10,2025,biometric,0,2
TX340,RC109,2,2,Tuticorin,Alangulam,Nov,rice,3,12,36,11,2025,aadhaar,0,2
TX341,RC109,2,2,Tuticorin,Alangulam,Nov,sugar,18,1,18,11,2025,aadhaar,0,1
TX342,RC109,2,2,Tuticorin,Alangulam,Dec,rice,3,8,24,12,2025,biometric,0,0
TX343,RC109,2,2,Tuticorin,Alangulam,Dec,wheat,2,7,14,12,2025,biometric,0,0
TX344,RC110,2,2,Tuticorin,Alangulam,Jan,rice,3,10,30,1,2025,biometric,0,0
TX345,RC110,2,2,Tuticorin,Alangulam,Jan,wheat,2,5,10,1,2025,biometric,0,1
TX346,RC110,2,2,Tuticorin,Alangulam,Jan,sugar,18,1,18,1,2025,biometric,0,0
TX347,RC110,2,2,Tuticorin,Alangulam,Jan,oil,25,2,50,1,2025,biometric,0,5
TX348,RC110,2,2,Tuticorin,Alangulam,Feb,rice,3,15,45,2,2025,biometric,0,5
TX349,RC110,2,2,Tuticorin,Alangulam,Feb,sugar,18,3,54,2,2025,biometric,0,1
TX350,RC110,2,2,Tuticorin,Alangulam,Feb,oil,25,2,50,2,2025,biometric,0,0
TX351,RC110,2,2,Tuticorin,Alangulam,Mar,rice,3,15,45,3,2025,biometric,0,0
TX352,RC110,2,2,Tuticorin,Alangulam,Mar,wheat,2,5,10,3,2025,biometric,0,1
TX353,RC110,2,2,Tuticorin,Alangulam,Mar,sugar,18,2,36,3,2025,biometric,0,0
TX354,RC110,2,2,Tuticorin,Alangulam,May,rice,3,11,33,5,2025,aadhaar,0,1
TX355,RC110,2,2,Tuticorin,Alangulam,May,wheat,2,6,12,5,2025,aadhaar,0,3
TX356,RC110,2,2,Tuticorin,Alangulam,May,sugar,18,2,36,5,2025,aadhaar,0,0
TX357,RC110,2,2,Tuticorin,Alangulam,Jul,rice,3,16,48,7,2025,biometric,0,0
TX358,RC110,2,2,Tuticorin,Alangulam,Jul,wheat,2,7,14,7,2025,biometric,0,0
TX359,RC110,2,2,Tuticorin,Alangulam,Jul,sugar,18,1,18,7,2025,biometric,0,3
TX360,RC110,2,2,Tuticorin,Alangulam,Jul,oil,25,2,50,7,2025,biometric,0,1
TX361,RC110,2,2,Tuticorin,Alangulam,Aug,rice,3,13,39,8,2025,biometric,1,0
